awj1,   4.1666666667E-07
bsj1,   1.2469000000E-08
s,   1.2000000000E-03
hf,   2.0000000000E-03
hp,   2.0000000000E-03
i,   2.0000000000E+00
r,   8.3140000000E-02
t,   2.9315000000E+02
mw,   5.8440000000E+01
void,   7.5000000000E-01
densityw,   9.9510000000E+02
d,   1.0000000000E-09
w,   1.3400000000E+00
l,   1.0000000000E+00
nl,   5.0000000000E-01
eps,   1.0000000000E-10
awk1,   4.2000000000E-07
bsk1,   3.5000000000E-08
xpoly[1],  -4.2071953625E-07
xpoly[2],   9.6629229366E-04
xpoly[3],   9.8212942576E-04
patm,   1.0000000000E+00
n,   3.0000000000E+00
nstage,   2.0000000000E+00
ncc,   1.0000000000E+00
xa,   2.6000000000E-01
amj,   6.0230743874E+03
amk,   9.9352673566E+02
dhfj,   3.9996595809E-03
dhpj,   3.9996595809E-03
dhfk,   3.9981361916E-03
acfj,   3.5247664183E-02
acpj,   3.5247664183E-02
acfk,   6.4354299447E-03
cfj[0],   3.5000000000E+01
cpj[0],   1.6052139541E+01
xfj[0],   3.4286978272E-02
xpj[0],   1.6384780860E-02
densityfj[0],   1.0208358059E+03
densitypj[0],   1.0073984165E+03
mfj[0],   5.5295272819E+00
mfj[1],   2.6275631507E+00
mfj[2],   1.9475049142E+00
mfj[3],   9.4403965439E-01
xfj[1],   7.1606030450E-02
xfj[2],   9.5866369566E-02
xfj[3],   1.9443652038E-01
mpj[1],   2.6929334374E+00
mpj[2],   2.0128752009E+00
mpj[3],   1.0094099411E+00
xpj[1],   3.3506121819E-02
xpj[2],   4.4106368155E-02
xpj[3],   8.4837855101E-02
cpj[1],   2.5118375054E+01
cpj[2],   3.5234409006E+01
cpj[3],   6.2529486669E+01
cfj[1],   5.5051902526E+01
cfj[2],   7.8673405854E+01
cfj[3],   1.5026702048E+02
densityfj[1],   1.0488474865E+03
densityfj[2],   1.0670572970E+03
densityfj[3],   1.1410440522E+03
densitypj[1],   1.0202496950E+03
densitypj[2],   1.0282062399E+03
densitypj[3],   1.0587792940E+03
viscfj[0],   1.0537170033E-03
viscfj[1],   1.1339529655E-03
viscfj[2],   1.1861126946E-03
viscfj[3],   1.3980385188E-03
refj[0],   5.9546563667E+02
refj[1],   2.6293645819E+02
refj[2],   1.8631391651E+02
refj[3],   7.6623817802E+01
fffj[0],   7.3790247555E-01
fffj[1],   1.1399458048E+00
fffj[2],   1.4360271629E+00
fffj[3],   2.8905111991E+00
plfj[0],   2.2236601428E-02
plfj[1],   7.5496621431E-03
plfj[2],   5.1354838511E-03
plfj[3],   2.2714440721E-03
viscpj[0],   1.0152272788E-03
viscpj[1],   1.0520381619E-03
viscpj[2],   1.0748286915E-03
viscpj[3],   1.1624013885E-03
repj[0],   6.2534768772E+02
repj[1],   2.9046032043E+02
repj[2],   2.1250555410E+02
repj[3],   9.8538091055E+01
ffpj[0],   7.2271160143E-01
ffpj[1],   1.0717241313E+00
ffpj[2],   1.3108002466E+00
ffpj[3],   2.3410845062E+00
plpj[0],   2.2594220925E-02
