OBJECTID,Plant_name,Plant_lati,Plant_long,Plant_prim,Plant_tota,Plant_annu,Exhaust_Ga,Cph,Th,Cpl,Tl,Exhaust_Re,Total_Pote
1,Aurora Energy LLC Chena,64.847740000000002,-147.735000000000014,COAL,1873707.000000000000000,36.680239999999998,3920777430.210000038146973,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,10511078.906199999153614,1350211583.910000085830688
2,Eielson AFB Central Heat & Power Plant,64.671409999999995,-147.075999999999993,COAL,408895.200000000011642,0.958895000000000,855538160.381000041961670,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,2293583.165870000142604,294653651.166000008583069
3,Healy,63.854199999999999,-148.949999999999989,COAL,2988139.000000000000000,329.246800000000007,6171148320.430000305175781,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,16544021.713199999183416,2153063406.710000038146973
4,University of Alaska Fairbanks,64.854169999999996,-147.822000000000003,COAL,249718.700000000011642,1.843402000000000,507414846.522000014781952,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,1360311.209939999971539,179909181.710000008344650
5,Utility Plants Section,64.825599999999994,-147.649000000000001,COAL,675970.400000000023283,0.000000000000000,1414354265.589999914169312,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,3791694.262589999940246,487110530.263000011444092
6,Barry,31.006900000000002,-88.010300000000001,COAL,111000000.000000000000000,3723.440000000000055,169997071468.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,455739368.999000012874603,79820739369.000000000000000
7,Charles R Lowman,31.488019999999999,-87.910700000000006,COAL,19930634.000000000000000,3066.528999999999996,40056561845.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,107386274.726999998092651,14357789584.700000762939453
8,Colbert,34.743899999999996,-87.848600000000005,COAL,9842436.000000000000000,1808.217000000000098,20044354372.400001525878906,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,53736228.129000000655651,7091077968.130000114440918
9,E C Gaston,33.244210000000002,-86.458100000000002,COAL,53379362.000000000000000,2121.338999999999942,102837381231.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,275693238.871999979019165,38441937068.900001525878906
10,Gorgas,33.644340000000000,-87.196500000000000,COAL,63149752.000000000000000,4820.014000000000124,126777903963.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,339874572.286000013351440,45491947252.300003051757813
11,James H Miller Jr,33.631900000000002,-87.059700000000007,COAL,217000000.000000000000000,6317.768000000000029,445238632502.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,1193625111.759999990463257,156348625112.000000000000000
12,Widows Creek,34.883020000000002,-85.755300000000005,COAL,0.000000000000000,0.000000000000000,0.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,0.000000000000000,0.000000000000000
13,Flint Creek Power Plant,36.256100000000004,-94.524100000000004,COAL,24046370.000000000000000,2772.199999999999818,49383082344.800003051757813,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,132389426.432999998331070,17325543976.400001525878906
14,Independence,35.678440000000002,-91.408799999999999,COAL,82854082.000000000000000,8948.174999999999272,170362223048.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,456718291.453999996185303,59697386921.500000000000000
15,John W. Turk Jr. Power Plant,33.649720000000002,-93.811899999999994,COAL,37597283.000000000000000,624.280799999999999,77108359437.500000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,206717179.131999999284744,27088774524.099998474121094
16,Plum Point Energy Station,35.664400000000001,-89.948899999999995,COAL,49250388.000000000000000,1518.907999999999902,98845958621.399993896484375,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,264992769.706000000238419,35479020189.699996948242188
17,White Bluff,34.422800000000002,-92.140600000000006,COAL,67682562.000000000000000,8817.264999999999418,139153744249.000000000000000,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,373052541.728999972343445,48766084371.699996948242188
18,Apache Station,32.060299999999998,-109.893000000000001,COAL,25609927.000000000000000,4437.842999999999847,49773393801.599998474121094,29.590000000000000,401.399999999999977,28.920000000000002,318.000000000000000,133435799.146999999880791,18444533604.099998474121094
