lat,lon,Name,Operator,ID
"33.59267624990906,33.59333806909666,33.59370843959289,33.593800670464645,33.59394418067944,33.59654525206179,33.59663355379553,33.596948303921124,33.59739978607132,33.59784740473401,33.598704981150036,33.59887419578757,33.598960891332126,33.599117814935255,33.599569789913915,33.60040145416383,33.60067965044556,33.601080597891325,33.60171185361918,33.60204250645654,33.603451472507516,33.60383577260285,33.605742962167994,33.60610722356955,33.606422344215844,33.606749867412475,33.60812786620812,33.609105020979996,33.61120108166466,33.61203547355831,33.61248969324481,33.61306962916012,33.6133190777133,33.61346932474959,33.613617776739034,33.61380038947647,33.61467379575913,33.61485662523313,33.61496953241806,33.615216318978014,33.61661048668469,33.616921636824145,33.61816627245554,33.61826901010676,33.61842461260585,33.61874753397154,33.61900967645545,33.619366702811135,33.61986551807922,33.62024738460917,33.62062632114788,33.62125295795772,33.6216194406847,33.62370214913494,33.62443148582446,33.62517126004565,33.62733377073698,33.62810711215354,33.6286352669041,33.62904663209645,33.632632049229755,33.63358685854672,33.63664458138237,33.63822495551733,33.63912379912409,33.63989774038845,33.64150022705388,33.647320812905264,33.648263775452904,33.64924586660351,33.649580990870106,33.650221122906544,33.65086275501221,33.65158327564768,33.65455716278291,33.65588533104324,33.657424088151174,33.65851862603381,33.6592716931342,33.66000356501257,33.660224095865374,33.66095814949904,33.66168969852083,33.662215085158095,33.663102528059255,33.6648674322862,33.667087037336955,33.66987979111951,33.67461180968729,33.67500594836588,33.676779915061104,33.677906782671926,33.679006115739696,33.681279676515885,33.682331452534584,33.68445973412946,33.68497902336327,33.68650685910433,33.68868624377518,33.68937636372823,33.69018625988804,33.69063003844559,33.69093327904767,33.69123492784968,33.691571111517646,33.69201074240192,33.69247433302411,33.692845924799656,33.692997568483065,33.69323810745277,33.69560867719872,33.69596245520319,33.695865428246975,33.695816833380206,33.69594291023719,33.69626765362938,33.69641087785976,33.696991146524226,33.697635177121754,33.70019799134428,33.701389907818054,33.706510395738235,33.71338616513947,33.72578232129712,33.727730228567225,33.73287920251323,33.74049603306554,33.74584704690375,33.74996497960018,33.75828756481934,33.76868503978284,33.77084325531206,33.77183216152508,33.77246131014141,33.773213492308855,33.77345894157696,33.77767255854178,33.77910422438049,33.78274296681451,33.78314587298371,33.783770065436215,33.7874402778466,33.79075689031828","-117.06409342307296,-117.06450704376505,-117.06500515666261,-117.06552341617271,-117.06610268479102,-117.07071985813491,-117.07087661446417,-117.07111728383552,-117.0714625065894,-117.07242951251197,-117.0745702038518,-117.07612906710273,-117.07698967243539,-117.07779637780055,-117.07893432955564,-117.08007543073649,-117.08003098714033,-117.08002478901278,-117.08006143728545,-117.07993300780203,-117.07865397310235,-117.07840055314296,-117.0788953052741,-117.07905783075427,-117.07940915630746,-117.07961093719496,-117.07999645767035,-117.08011446940719,-117.08011857751029,-117.08015206826332,-117.0799899402835,-117.07970342976944,-117.07937775198161,-117.07881621169878,-117.07763029010579,-117.07721297050216,-117.07664189290898,-117.07623311056955,-117.07561304960251,-117.07518479963875,-117.07397857585056,-117.0740926701406,-117.0757005536376,-117.0760731679423,-117.07682879001663,-117.07740716111158,-117.07785090099827,-117.07808583988958,-117.07826423030997,-117.07809870828873,-117.078048013505,-117.07846123669668,-117.07850762732511,-117.07789197393544,-117.0781217714026,-117.07792342412671,-117.07734756483819,-117.07706241140113,-117.07643550299605,-117.07600111515933,-117.07533279657127,-117.07532612000438,-117.07754800843378,-117.077109565554,-117.07708193838073,-117.07724041241505,-117.07802447195178,-117.07720888847939,-117.07715867393364,-117.0774242958945,-117.07786123600721,-117.07871841492289,-117.0793488729521,-117.07968762148653,-117.0800478044626,-117.07951490219097,-117.07954924370262,-117.0794347618048,-117.07901139246178,-117.07764129960628,-117.07629592461717,-117.07542208126398,-117.07409465764232,-117.07318923369616,-117.07238909518054,-117.07091990153219,-117.07089498401626,-117.07087742835063,-117.071073587576,-117.07154413355488,-117.07367590362003,-117.07386260737337,-117.07390764811942,-117.07394675603791,-117.07399926205625,-117.0750622733052,-117.07520293446782,-117.07446161790932,-117.07389922147183,-117.07343232134451,-117.07272753974411,-117.07216316299952,-117.071543458164,-117.07038903442634,-117.06941125102838,-117.06868716458092,-117.0677797378446,-117.06701226000774,-117.06623030578396,-117.06519388389057,-117.06012820605184,-117.05904186009371,-117.05777105509009,-117.05637561933935,-117.05461267203714,-117.05167776241876,-117.0505763645076,-117.04939019290305,-117.04845281424593,-117.0463934962628,-117.04596086570137,-117.04604407367503,-117.04606186586238,-117.04612513946358,-117.04539005160956,-117.04340775426442,-117.04059575768804,-117.03854507229721,-117.0368278941919,-117.03699108247247,-117.03407981153401,-117.03409040284976,-117.03421688889824,-117.03389265722035,-117.03316050295479,-117.03292158546276,-117.03308026903915,-117.0329674823634,-117.03053570475896,-117.03043738637626,-117.03028506910061,-117.03051954843835,-117.0304665873631",San Diego Canal,Metropolitan Water District,1
"33.46558385421156,33.460028990145815,33.457028965114716,33.45320235610393,33.45116022056777,33.44991362441431,33.43715193161643,33.43499864706996,33.43485832135451,33.43226480787462,33.430551800825015,33.42987676070402,33.428179663560684,33.42752200913344,33.42433183594551,33.41698467340399,33.41454986238631,33.41427252945374,33.413472142725254,33.41192334288803,33.408959620789915,33.407867663961554,33.40682626252203,33.40393408329135,33.40252125195428,33.399584570671436,33.39679434308454,33.39305358335622,33.39191290935332,33.3909152455422,33.38959297143856,33.38816261591205,33.38638995593175,33.386084842041896,33.38355330264284,33.383203800015394,33.382989788348084,33.3785195750184,33.37547377719312,33.3735153901232,33.37080192776682,33.370110401274076,33.36969794250609,33.3686582749595,33.367527337916385,33.36634153233592,33.36514649071802,33.3639867447925,33.36273644613016,33.361693101255696,33.36059552546317,33.35898512386444,33.35780999053867","-117.12303070830052,-117.12777050420539,-117.13084088409948,-117.13215027091826,-117.13425320871858,-117.13535714451655,-117.14169104450605,-117.14330616304898,-117.14341141700328,-117.14306316173548,-117.14283315202829,-117.14340219715365,-117.14526646747345,-117.14598887938325,-117.15057358000666,-117.15607323469197,-117.15610643046733,-117.15651525597423,-117.15648704873826,-117.15845684910425,-117.1595114480948,-117.16098566985272,-117.16147323100478,-117.16505749520718,-117.16739078175914,-117.16848771453635,-117.17035572783453,-117.1703307563593,-117.17072212422664,-117.17085552965892,-117.17072250014326,-117.17053639803629,-117.17016971835778,-117.1703534003891,-117.1716088701532,-117.17196424985019,-117.17250119457441,-117.17484827762587,-117.17560221077338,-117.1761687665753,-117.17681387635929,-117.17707433890956,-117.17742993714182,-117.17846363588808,-117.17909050472298,-117.17943898661991,-117.17971249023918,-117.17978221287876,-117.17965946890934,-117.17957862435401,-117.1794123082314,-117.1791626717199,-117.17890531812589",Rainbow Creek,San Diego County Water Authority,2
"33.51464127647381,33.517617746461895,33.52046553785436,33.55140166405562,33.55911692540582,33.57992571679847","-117.11950795502804,-117.11474110841539,-117.11055859090624,-117.10258531406095,-117.0992839756749,-117.08743726751584",Rainbow Creek,San Diego County Water Authority,3
"32.89709840037091,32.90157990828618,32.90384796071487,32.90594076765234,32.906882222036984,32.9079006439996,32.908587924792926,32.90959282634793,32.91109374088347,32.91110667043654,32.91199374731366,32.91200125935069,32.915377693825576,32.91712989422928,32.91797932998213,32.91914946397662,32.919357745163836,32.92036676561378,32.921356722234975,32.92239076901882,32.923809429761434,32.92414361693443,32.92470470845558,32.925499078719554,32.92629668294563,32.92688439170138,32.92716549189396,32.9273743405534,32.92847564583445,32.92889967168253,32.929190677008194,32.930304919036814,32.93154346356005,32.93285060117438,32.933952023367226,32.93539695690407,32.935445560764094,32.93546107766667,32.935774075013626,32.93629113392876,32.936817744543305,32.93735542851027,32.93776423243344,32.93793852913984,32.938576933578645,32.93945245236881,32.94032476867318,32.94112095466835,32.94181879889851,32.94245319326029,32.94466504705434,32.94540741581966,32.945644443836045,32.946154277597884,32.946970281053666,32.94761319289461,32.949038458258315,32.95137551836552,32.9519991001784,32.953537181895456,32.954141291587405,32.95471064518017,32.95686762863818,32.95792421333181,32.95849551665481,32.95933960234083,32.96358203358403,32.96406891304997,32.96488094959619,32.966134311349435,32.966914306849844,32.96788287219687,32.968888428458285,32.970357731823924,32.971203429095056,32.97215950195948,32.97355481270449,32.974851629699,32.976570387913114,32.97786659786527,32.97879137702046,32.981636825679004,32.982490916322774,32.98325312233379,32.983928728128376,32.98483469796298,32.986135700402315,32.98896326154534,32.99008277629912,32.99137536378208,32.99273064120615,32.99451085369299,32.997719834402915,32.99929357064184,33.00613038680797,33.01090001322507,33.01317574946131,33.01486776363646,33.0158280372342,33.01682529814906,33.020939004031845,33.021646194916,33.02247034622957,33.02611127941208,33.02784597451216,33.03140498934886,33.03416188086618,33.03651777007906,33.0378615487715,33.0401287765219,33.04205150277471,33.043288585899575,33.04558667838256,33.04623295818453,33.04654985499184,33.04815692819972,33.05023239980545,33.05290636663557,33.05559882712424,33.05759848947878,33.0604013390506,33.0619343144171,33.06301554593074,33.06435504474956,33.0667383111242,33.06851764677202,33.06922238160769,33.070300771263646,33.07221317240004,33.072808683673884,33.077557449416815,33.0792175106796,33.08145338446616,33.082231512973976,33.08290167787021,33.08479097722187,33.08814275048758,33.090477684597545,33.090854215449724,33.09162339210593,33.09224636148048,33.09308889943321,33.094911240661304,33.09600858532798,33.09700804418594,33.09821995168949,33.09871041585308,33.09853436546865,33.098357081214374,33.09916380366667,33.09945795751878,33.099960361081855,33.10055827174688,33.101259006398095,33.101647797707756,33.102138244784214,33.102677589798986,33.103564784487276,33.10393411626649,33.10439528141717,33.10471030044005,33.10526752127913,33.10707789882605,33.109119777156025,33.111418786048205,33.11465220223738,33.11605021634443,33.11813092740044,33.11822453873151,33.11867728083189,33.11901188259236,33.1191830388662,33.11957193809451,33.11975505804952,33.122045016164634,33.12221556179878,33.122424290848414,33.12280163828501,33.12375584415696,33.124561291370526,33.125092767317426,33.12681925610383,33.128839366343755,33.12909903838994,33.12958525865281,33.13103428770228,33.13238368985543,33.13542790577327,33.136659748548595,33.13850692905157,33.14374314532995,33.145084170298276,33.14739866911333,33.149170603340735,33.14927889340623,33.15030048817704,33.152091359428766,33.15261281962597,33.15375496132248,33.154594762638226,33.155207554385186,33.15521407087272,33.15704478119176,33.15787990783156,33.157885030369926,33.159845972413734,33.161276843251756,33.16171152516682,33.162080766114514,33.16305395667479,33.163983614652125,33.164745272976006,33.16539619148108,33.16642074322277,33.16742120392547,33.16863051058965,33.171129008896685,33.172375905423735,33.17475454928308,33.179017186494036,33.18044501132829,33.18206434499359,33.18393921742097,33.18654928562108,33.18803965920296,33.189280067121445,33.19121773650937,33.19357950279186,33.19496213669328,33.19521849114051,33.19762937029924,33.20069406108212,33.20582242076813,33.20775538490312,33.208652112405105,33.210779834621746,33.21286350174927,33.21582713031785,33.218285835423046,33.22173024425541,33.22324582043831,33.22438015062352,33.22531151821204,33.22617004071486,33.227622152640265,33.23205042248907,33.233028179806695,33.23448998012856,33.235952948669706,33.236235485978966,33.23754834867742,33.23892024017698,33.24106898944234,33.24270393803636,33.244570775021316,33.246073042137255,33.246606283453275,33.2471554697492,33.24772257233889,33.24825945770783,33.24883510925292,33.25010329812875,33.25178855210004,33.254204873955814,33.255593220350875,33.25749876685467,33.26035649215845,33.261175039796285,33.26137472976001,33.262024391012915,33.262572157279294,33.262893181974846,33.26311816716975,33.264143191954815,33.26500460308,33.26622018161612,33.26732238621918,33.267757364910494,33.268224081576136,33.269180699429796,33.271322907925935,33.272494197549236,33.27339202132475,33.274808208032425,33.27647783718248,33.27861265145276,33.28185373795969,33.28312772656341,33.28446541774491,33.28562639034567,33.28670865967695,33.28662784389991,33.28744028604041,33.28775193170634,33.28904148847397,33.290831242767695,33.29207851701,33.29363414989615,33.294574811078746,33.29521566437148,33.297584174669964,33.299763897485946,33.300845560674134,33.303348819992095,33.30584897754835,33.30766736895396,33.308541597217015,33.30886106338744,33.30966983269667,33.31067612640214,33.311759536073794,33.3124636863501,33.31302518346547,33.314337705320895,33.315401618589874,33.31697701587666,33.31903444258552,33.32109008144215,33.32375431850704,33.324331567248066,33.32454283868111,33.3254617452634,33.32564463589131,33.33171955901048,33.33192198740983,33.334881740799744,33.33637839884409,33.33797157662701,33.33912911741487,33.33983016143287,33.340613377405475,33.34327421773099,33.344159173107414,33.345653771704235,33.346099202316395,33.3475297422039,33.351854289643825,33.35197945638686,33.35301612019782,33.3538271297183,33.35463765810147,33.3554923737741,33.35663531766585,33.357616121886565,33.35848930873465,33.35913761201124,33.35963220676098,33.36072030999435,33.36177970237139,33.362319096848864,33.36274248148038,33.3633906264763,33.36453304156669,33.3655518277547,33.36563532441073,33.365771649042415,33.36663764041481,33.36764681644746,33.36871717245958,33.369373703633585,33.376239833201794,33.37690539356913,33.377500253733785,33.39040157077591,33.391527699144035,33.39279913816972,33.39507192373037,33.3959906054821,33.396602593235116,33.40406718745078,33.40636439679952,33.40943381351974,33.41215153866261,33.41499292778144,33.42307171308914,33.42597739923764,33.42658755776961,33.42911967992933,33.43052017886322,33.43256576509805,33.43430171924899,33.446974267648386,33.44790405063151,33.45028890970548,33.45411937860649,33.45670969229849,33.45739682290508,33.45828653839311,33.46235069073185,33.479277779745814,33.48070628896414,33.481900528386745,33.4832992637501,33.4849646049326,33.487016963961764,33.48846894098887,33.490148532828584,33.49200036102786,33.498476964540316,33.49956368641506,33.50158386590272,33.507194389009896,33.50889823646452,33.510119838659705,33.51182177955155,33.51464127647381,33.515082852591604,33.519297967827015,33.52794047966944,33.53376450003168,33.54323661757587,33.54878137146318,33.55295440831935,33.55559568299441,33.55952513217915,33.564591595126046,33.57072898965123,33.57630161892462,33.580096047494635,33.581811380191084,33.58423741652359,33.58776058258485,33.60097361094347,33.61020381895116,33.623938213078134,33.6350484529238,33.66711252232511,33.68816062781076,33.70638422625109,33.71158588158323,33.73760326747686,33.74656279663583,33.74881608309579,33.75147413912026,33.752633923716644,33.75509921545648,33.757735065421,33.761391909409156,33.770491048423196,33.78255383129431,33.81883535596694","-116.93438933320112,-116.93772570557684,-116.9398293619355,-116.94208113843376,-116.94374100724167,-116.9460339124351,-116.94713827181374,-116.94893715782354,-116.95089176054626,-116.95091344050286,-116.952223909206,-116.95223211551968,-116.95514743520596,-116.95700558294129,-116.95921575949967,-116.96228418426767,-116.96270988915,-116.96491390625175,-116.96709510395584,-116.96937514794467,-116.97249134110245,-116.97322101773574,-116.97445990490064,-116.97620808173752,-116.97794495589494,-116.97899481725699,-116.97951586106808,-116.97983564110194,-116.98150317752959,-116.98215038003599,-116.98261473148466,-116.98355812210963,-116.98505102458506,-116.98713762530116,-116.98948531269701,-116.99107045323882,-116.99112108417069,-116.99113697968784,-116.99147866360943,-116.99204534171912,-116.99261589410821,-116.99320358667615,-116.9936515093097,-116.99383734701593,-116.99453288268637,-116.99548699233083,-116.99644109478066,-116.99731125810803,-116.99807456668788,-116.99876918235185,-117.00167845050004,-117.002531145396,-117.00281634829582,-117.00329493781112,-117.0037847005035,-117.00423570331503,-117.00447290490058,-117.00624412776426,-117.00631444575504,-117.00647745057387,-117.00672894688336,-117.00734349410692,-117.00931932532654,-117.01023009574232,-117.01086488220852,-117.0116931200414,-117.01594688004445,-117.0165701102224,-117.01734656509188,-117.0177524138428,-117.01761022832932,-117.01737050774273,-117.01708414741546,-117.0169841544951,-117.0171563000232,-117.01716593895691,-117.01715921472595,-117.01704301242506,-117.01697897619874,-117.01684015954567,-117.01674286369217,-117.01844226489857,-117.01893097628351,-117.0195589099157,-117.01980533764618,-117.02008845861542,-117.02013055767907,-117.02007056570403,-117.01975728776858,-117.01948282457266,-117.0194097249788,-117.0195018767102,-117.02012935618478,-117.02036503341952,-117.0215593214055,-117.02337406336233,-117.02557604889552,-117.02739231250519,-117.0282849085217,-117.02913087109278,-117.032895219139,-117.03361619123422,-117.03442341101157,-117.0375771841397,-117.03893411361844,-117.0397987667996,-117.04286716548728,-117.04555228750803,-117.0470839669515,-117.04753082478771,-117.04787239539468,-117.04815364397547,-117.04919418836107,-117.049057100205,-117.04875096738323,-117.04808012709617,-117.04777702319103,-117.04770097022356,-117.04760157715106,-117.04732388269099,-117.0470618220454,-117.04720909862095,-117.04762225166553,-117.04759044534273,-117.04963702173114,-117.05043227602869,-117.05033831216332,-117.04918838773386,-117.04855044734524,-117.050070069578,-117.04894321905431,-117.04883662600946,-117.04882206778416,-117.04861206799251,-117.04793020021856,-117.04636486724479,-117.04517595360733,-117.04456842379369,-117.04435054594092,-117.04380087850768,-117.04350589278272,-117.04356537933876,-117.04309004267128,-117.04266417141434,-117.04287649145687,-117.04244636730596,-117.04292682741112,-117.04349994196872,-117.04475301593891,-117.04490450224097,-117.04518826172887,-117.04539633247475,-117.04502135475167,-117.0451816876847,-117.04560593116878,-117.04608643174339,-117.04697310392555,-117.04800559758024,-117.04824127661357,-117.04906287295319,-117.04941389183762,-117.05025462305235,-117.05005180434728,-117.0499310991409,-117.05014090737694,-117.0502708998821,-117.0503779767622,-117.04955307541405,-117.05020703632562,-117.05143715420127,-117.0525356248192,-117.05323207510014,-117.0542152094643,-117.05463918674906,-117.05523489227642,-117.05590872550727,-117.05658115489632,-117.05709209122699,-117.05774948395151,-117.05830481891223,-117.05867788737459,-117.05994343494154,-117.06140864819054,-117.06114183192994,-117.06146403653605,-117.06279379839503,-117.06396855310624,-117.06637352102115,-117.06743934175216,-117.068885367066,-117.07230421087058,-117.07316213802221,-117.07486266068321,-117.07606702647206,-117.07615953343571,-117.07648937238662,-117.07706827408157,-117.07724065343336,-117.07761822210324,-117.07790389984507,-117.07807470448398,-117.07807639970605,-117.07850697441728,-117.07860956188176,-117.07861794536183,-117.08008323145594,-117.08135086904736,-117.08169648120759,-117.08197648152935,-117.08265768740233,-117.08340233145242,-117.08403230564636,-117.0840765846666,-117.08378965956513,-117.0840480051113,-117.08425336350189,-117.08479728786449,-117.08497861007476,-117.0853227887157,-117.08462269618047,-117.08441174850338,-117.08421648680138,-117.08355812280911,-117.08398461010165,-117.08397554763337,-117.08390754719551,-117.0836003522744,-117.08472060627093,-117.08710362713066,-117.08888687033277,-117.0890031688611,-117.08927716890616,-117.089544016643,-117.08965508111709,-117.08959968557701,-117.0891135687362,-117.08840207189809,-117.08772651286824,-117.0874778952886,-117.08692089478342,-117.08641157993043,-117.08593886928338,-117.08574595571127,-117.08569189746305,-117.08568425682296,-117.08622624674388,-117.08634944936756,-117.08597822811271,-117.08565235697068,-117.08623230907375,-117.08675193645269,-117.08733753539889,-117.08766775206504,-117.08794012253861,-117.08933360765985,-117.09162109443793,-117.0919386054822,-117.09248622965572,-117.09298779684929,-117.09305905283298,-117.09315160566206,-117.0934232809596,-117.09356623089678,-117.09316026613334,-117.09290529034683,-117.09269957762336,-117.09236830245516,-117.0922476179332,-117.09258098582382,-117.09258001095873,-117.09233293751504,-117.09218497026012,-117.0920177943857,-117.09175330736923,-117.09181273726796,-117.09226805322805,-117.09277294071859,-117.09259810082165,-117.09217227003421,-117.0914787335567,-117.09155958350794,-117.09103988328394,-117.09102984145397,-117.09111445596733,-117.0913942566396,-117.09192967611364,-117.09312896702818,-117.09362770135732,-117.09437401095181,-117.09419539660024,-117.09392877639186,-117.0932770134234,-117.09340232495731,-117.09289117908463,-117.09325307167188,-117.0930060638787,-117.09321048427637,-117.0935172619121,-117.09368743792487,-117.09334599861893,-117.0940548352624,-117.09411169130146,-117.09382232274197,-117.09383848445844,-117.09445788981975,-117.09532324267349,-117.09588218571429,-117.09641590546966,-117.09665912351971,-117.09789500245239,-117.09990072803612,-117.10053411155997,-117.10126107403931,-117.10207939684665,-117.10258611175959,-117.10366511385388,-117.10565842159883,-117.10758371451675,-117.10700979056935,-117.10714640568204,-117.10719758520037,-117.10730972436426,-117.10729187462027,-117.10675228768787,-117.10689014926095,-117.1081968021407,-117.10908999260903,-117.11022141348741,-117.11065679417567,-117.11042677727391,-117.11042109985385,-117.11174798298299,-117.11229538592329,-117.1132618495547,-117.11349577940666,-117.11421817782661,-117.11674249746824,-117.1168413536455,-117.11752153429131,-117.11797792314263,-117.11830573951823,-117.11842973534397,-117.11868077209994,-117.11885767144435,-117.11911016779999,-117.11934244020142,-117.1193505053215,-117.11936610586105,-117.11892107005133,-117.11888602706847,-117.11908736638884,-117.11927678429612,-117.11938854394612,-117.12010109748763,-117.12078651218775,-117.12117158210282,-117.12190641454936,-117.12245831050257,-117.12253834926537,-117.12256700706172,-117.1239559452107,-117.12399528695289,-117.12436726094029,-117.13351774854522,-117.13410148319684,-117.13508111919828,-117.13695610314159,-117.13736945763435,-117.13751638887021,-117.13785317958053,-117.13903145154023,-117.1399056132534,-117.14050285392352,-117.14059524937124,-117.1405926179549,-117.13945178836929,-117.13931937219127,-117.13876983515974,-117.13895783483616,-117.13923244282296,-117.1379302838555,-117.1316402698825,-117.13081686680493,-117.12836092621575,-117.12705010587763,-117.12439896294177,-117.12402818235472,-117.12354807208584,-117.1232599400941,-117.12205958528159,-117.12191786022106,-117.12169243525767,-117.12111109100402,-117.12004449415804,-117.11904943028696,-117.11836022944101,-117.11811957266013,-117.11810266180834,-117.11881507505564,-117.11898828268306,-117.1192074348752,-117.11959328000586,-117.11965452023986,-117.11967337992252,-117.11961111176339,-117.11950795502804,-117.11950333880799,-117.11945925583996,-117.11973159483722,-117.119834099564,-117.11768865440786,-117.1176004264185,-117.11928103359281,-117.11984893298182,-117.11973113528364,-117.11759965929679,-117.1175923091377,-117.11767840753242,-117.11773704332984,-117.11771205027088,-117.11708065874535,-117.11709269707029,-117.11716495310009,-117.11732243698083,-117.11749849186185,-117.11761233973766,-117.08327517630829,-117.07420206547289,-117.04706173750913,-117.04467599889819,-117.0312263948822,-117.02384669846634,-117.02164266068019,-117.01906415508665,-117.0179273823428,-117.0155048479703,-117.01293556942096,-117.01294443583703,-117.01303146772801,-117.01170070132628,-116.9722366441058",San Diego Aqueduct,San Diego County Water Authority,4
"33.51464127647381,33.509336417641634,33.50203175526133,33.49457971288348,33.49200036102786,33.4898016508256,33.48838310429687,33.4849646049326,33.4832992637501,33.482503653320975,33.481900528386745,33.48077473096913,33.47903825790934,33.47120881323622,33.465156353383065","-117.11950795502804,-117.11966128494032,-117.1192382348566,-117.11838637183354,-117.11810266180834,-117.11816927639097,-117.11840097412562,-117.12004449415804,-117.12111109100402,-117.12144176632444,-117.12169243525767,-117.12190494056051,-117.12207657437438,-117.12263184818124,-117.12306101905074",San Diego Aqueduct,San Diego County Water Authority,4
"40.50844155033735,40.50887979896362,40.51204868250073,40.51258806528705,40.51275662341948,40.512992603725706,40.51390281476313,40.51420621904185,40.51572323683797,40.516768293122254,40.517577369999685,40.51946521424827,40.51970119545388,40.5203417132995,40.522195846461216,40.52327461563107,40.526106382004,40.53308466602459,40.53564674100437,40.53709633572737,40.53824252707102,40.53847850737725,40.540130371319606,40.541074295242595,40.54484998373982,40.54862567403569,40.54919876790888,40.54960330814623,40.55209795825425,40.55354755387657,40.55789633894494,40.55931222168175,40.56028985579229,40.56052583699784,40.56160460436905,40.56436894856819,40.56527915960561,40.56730185089975,40.5675378321053,40.568549176403394,40.56983021389328,40.57070671384383,40.57212259658064,40.57340363496985,40.57394301865543,40.574381268181014,40.57492065276597,40.57808953450444,40.58368564687515,40.58567462528379,40.58739391139994,40.59096733247645","-122.39157866372432,-122.39245516277549,-122.39451156515656,-122.39447785406969,-122.3940396045441,-122.39154495263745,-122.39080329883313,-122.38861205120514,-122.38736472480218,-122.38726359064214,-122.38753328293461,-122.39097185786494,-122.39117412708424,-122.39080329973245,-122.39023020406063,-122.39009535791439,-122.39110670491044,-122.38851091884379,-122.38628595922961,-122.38658936170964,-122.38534203710532,-122.3844318260679,-122.38291480827178,-122.38028531021888,-122.38102696402314,-122.38082469480378,-122.38156634860809,-122.38180232981364,-122.381262946128,-122.38133036920112,-122.38304965711598,-122.38520719365704,-122.38611740469446,-122.3859488474613,-122.38463409888453,-122.38429698351894,-122.38348790664156,-122.38277996662214,-122.38227429312411,-122.38122923683977,-122.38079098731419,-122.3796785070574,-122.38004933350987,-122.37961108578293,-122.37886943197867,-122.37782437479501,-122.37752097051634,-122.37782437569433,-122.37671189543761,-122.37866716455795,-122.38254398811455,-122.38426327602934",Anderson Cottonwood Irrigation District Canal,Anderson-Cottonwood Irrigation District,5
"39.40676320715636,39.40685395684466,39.406875199730734,39.40679306195028,39.40685439211654,39.40690830827185,39.40690621644876,39.406850347865316,39.40683415647118,39.406829649069095,39.406863878165495,39.40689142979568,39.4068726069853,39.406808585148156,39.40659453840726,39.405126088498264,39.401571679089784,39.399760090156065,39.399679996534644","-122.25091494616782,-122.22759816502327,-122.2219987422481,-122.22184285016738,-122.22158228329573,-122.22088768202087,-122.22057555072104,-122.22030612192992,-122.21990703428219,-122.21588754857146,-122.21561856854208,-122.21502806829068,-122.2089260153233,-122.20878663209737,-122.20844858413483,-122.20650373366033,-122.20653818578859,-122.204489980728,-122.19286614705499",Glenn Colusa Irrigation District Lateral 35-1C,Glenn Colusa Irrigation District,6
