OBJECTID_1,OBJECTID,STATECODE,COUNTYCODE,GNIS_ID,ST_CNTY_CODE,COUNTYNAME,LEGAL_NAME,CLASSCODE,LEGAL_DESC,CLASSCODE_DESC,STATE_POSTAL_ABBR,GIS_ACRES,STATENAME,Count_,Avg_City_Population,Min_City_Population,Max_City_Population,Avg_Total_Customers,Min_Total_Customers,Max_Total_Customers,Avg_Average_Usage_Residentia_21,Min_Average_Usage_Residentia_22,Max_Average_Usage_Residentia_23,Avg_F5000_Gal_Residential,Min_F5000_Gal_Residential,Max_F5000_Gal_Residential,Avg_F10000_Gal_Residential,Min_F10000_Gal_Residential,Max_F10000_Gal_Residential,Avg_F50000_Gal_Commercial,Min_F50000_Gal_Commercial,Max_F50000_Gal_Commercial,Avg_F200000_Gal_Commercial,Min_F200000_Gal_Commercial,Max_F200000_Gal_Commercial,Avg_F5000gal_res_perKgal,Min_F5000gal_res_perKgal,Max_F5000gal_res_perKgal,Avg_F10000gal_res_perKgal,Min_F10000gal_res_perKgal,Max_F10000gal_res_perKgal,Avg_F50000Gal_Commercial_per_42,Min_F50000Gal_Commercial_per_43,Max_F50000Gal_Commercial_per_44,Avg_F200000Gal_Commercial_pe_45,Min_F200000Gal_Commercial_pe_46,Max_F200000Gal_Commercial_pe_47,Max_Water_Price_perKgal_Comm,Max_Water_Price_perKgal_Res,Shape_Length,Shape_Area,ID
1,2,48,219,01383895,48219,Hockley,Hockley County,H1,County,An active county or equivalent feature,TX,581298.731999999959953,Texas,14,4221.500000000000000,434.000000000000000,13929.000000000000000,1649.750000000000000,204.000000000000000,5350.000000000000000,7000.000000000000000,5000.000000000000000,9000.000000000000000,37.867500000000000,20.960000000000001,62.500000000000000,51.392499999999998,32.009999999999998,71.250000000000000,179.342500000000001,134.409999999999997,206.210000000000008,692.217499999999973,594.909999999999968,785.210000000000036,7.573499999999999,4.192000000000000,12.500000000000000,5.139250000000001,3.201000000000000,7.125000000000000,3.586850000000000,2.688200000000000,4.124200000000000,3.461087500000000,2.974550000000000,3.926050000000000,4.1241999,12.5000000,233302.552531143126544,3400330836.558069229125977,1
2,3,40,025,01101800,40025,Cimarron,Cimarron County,H1,County,An active county or equivalent feature,OK,1181460.726000000024214,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207491.862092893541558,683174.905856369761750,2
3,7,48,227,01383899,48227,Howard,Howard County,H1,County,An active county or equivalent feature,TX,578653.388000000035390,Texas,10,9599.250000000000000,250.000000000000000,28862.000000000000000,3334.750000000000000,101.000000000000000,8480.000000000000000,6045.750000000000000,0.000000000000000,13361.000000000000000,37.293750000000003,14.500000000000000,55.000000000000000,63.442500000000003,22.000000000000000,110.000000000000000,314.335000000000036,82.000000000000000,550.000000000000000,1417.335000000000036,307.000000000000000,2200.000000000000000,7.458750000000000,2.900000000000000,11.000000000000000,6.344250000000001,2.200000000000000,11.000000000000000,6.286700000000001,1.640000000000000,11.000000000000000,7.086675000000000,1.535000000000000,11.000000000000000,11.0000000,11.0000000,229327.556682742753765,3287014321.979437828063965,3
4,10,48,483,01384027,48483,Wheeler,Wheeler County,H1,County,An active county or equivalent feature,TX,586234.832999999984168,Texas,11,1240.333333333333258,101.000000000000000,2028.000000000000000,746.333333333333371,63.000000000000000,1414.000000000000000,6333.333333333333030,5000.000000000000000,9000.000000000000000,19.333333333333332,15.000000000000000,23.500000000000000,30.333333333333332,24.500000000000000,33.500000000000000,123.000000000000000,92.500000000000000,155.000000000000000,381.333333333333314,221.500000000000000,605.000000000000000,3.866666666666667,3.000000000000000,4.700000000000000,3.033333333333334,2.450000000000000,3.350000000000000,2.460000000000000,1.850000000000000,3.100000000000000,1.906666666666667,1.107500000000000,3.025000000000000,3.0999999,4.6999998,239208.257082098483806,3576230645.316565990447998,4
5,11,48,341,01383956,48341,Moore,Moore County,H1,County,An active county or equivalent feature,TX,581906.319000000017695,Texas,6,8481.000000000000000,1961.000000000000000,15001.000000000000000,3190.500000000000000,830.000000000000000,5551.000000000000000,9317.000000000000000,8634.000000000000000,10000.000000000000000,34.875000000000000,26.000000000000000,43.750000000000000,51.500000000000000,41.000000000000000,62.000000000000000,187.155000000000001,166.310000000000002,208.000000000000000,685.904999999999973,616.309999999999945,755.500000000000000,6.975000000000000,5.200000000000000,8.750000000000000,5.150000000000000,4.100000000000000,6.200000000000000,3.743100000000000,3.326200000000000,4.160000000000000,3.429525000000000,3.081550000000000,3.777500000000000,4.1599998,8.7500000,239693.620462598250015,3590878094.686051845550537,5
6,13,48,393,01383982,48393,Roberts,Roberts County,H1,County,An active county or equivalent feature,TX,591871.817000000039116,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241724.650331860641018,3652466799.397706985473633,6
7,21,48,205,01383888,48205,Hartley,Hartley County,H1,County,An active county or equivalent feature,TX,936017.451000000000931,Texas,2,363.000000000000000,363.000000000000000,363.000000000000000,190.000000000000000,190.000000000000000,190.000000000000000,3500.000000000000000,3500.000000000000000,3500.000000000000000,30.000000000000000,30.000000000000000,30.000000000000000,45.000000000000000,45.000000000000000,45.000000000000000,306.000000000000000,306.000000000000000,306.000000000000000,615.000000000000000,615.000000000000000,615.000000000000000,6.000000000000000,6.000000000000000,6.000000000000000,4.500000000000000,4.500000000000000,4.500000000000000,6.120000000000000,6.120000000000000,6.120000000000000,3.075000000000000,3.075000000000000,3.075000000000000,6.1199999,6.0000000,313704.363594868103974,5776225696.914359092712402,7
8,26,48,103,01383837,48103,Crane,Crane County,H1,County,An active county or equivalent feature,TX,503562.260000000009313,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255192.085822010383708,2806553563.898204803466797,8
9,28,48,305,01383938,48305,Lynn,Lynn County,H1,County,An active county or equivalent feature,TX,572103.476999999955297,Texas,12,459.000000000000000,100.000000000000000,769.000000000000000,243.500000000000000,57.000000000000000,372.000000000000000,3735.000000000000000,0.000000000000000,6440.000000000000000,58.220000000000006,23.000000000000000,96.480000000000004,75.344999999999999,35.000000000000000,111.480000000000004,235.382499999999993,135.500000000000000,337.250000000000000,822.945000000000050,510.500000000000000,1192.000000000000000,11.643999999999998,4.600000000000000,19.295999999999999,7.534500000000000,3.500000000000000,11.148000000000000,4.707650000000001,2.710000000000000,6.745000000000000,4.114725000000000,2.552500000000000,5.960000000000000,6.7449999,19.2959995,230397.205311269586673,3313051136.961326599121094,9
10,30,48,359,01383965,48359,Oldham,Oldham County,H1,County,An active county or equivalent feature,TX,961240.883999999961816,Texas,4,166.000000000000000,166.000000000000000,166.000000000000000,87.000000000000000,87.000000000000000,87.000000000000000,5500.000000000000000,5500.000000000000000,5500.000000000000000,32.500000000000000,32.500000000000000,32.500000000000000,52.500000000000000,52.500000000000000,52.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.500000000000000,6.500000000000000,6.500000000000000,5.250000000000000,5.250000000000000,5.250000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000,6.5000000,315905.505139358283486,5863468220.196093559265137,10
