OBJECTID,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
37,A L Pierce,USA0006635,84.000000000000000,41.448200000000000,-72.834900000000005,Gas,Waste,Oil,,2007.000000000000000,Connecticut Mun Elec Engy Coop,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55374,2017,9.06,13.17,2.323,4.012,4.333,
38,ABC Coke,USA0056076,3.800000000000000,33.582799999999999,-86.779899999999998,Gas,,,,1997.000000000000000,Drummond Company  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,56875,2017,14.022,13.707,2.07,2.989,2.763,
39,ABD Farms,USA0061525,5.000000000000000,35.728700000000003,-79.748300000000000,Solar,,,,2018.000000000000000,Cypress Creek Renewables,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,0,2.229638340000000
40,ABEC Bidart-Old River LLC,USA0058699,2.000000000000000,35.169699999999999,-119.105599999999995,Biomass,,,,2014.000000000000000,ABEC Bidart-Old River LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.013,8.013,10.198,10.899,12.124,
41,AC Criminal Courts Complex SPE2  LLC,USA0058798,1.300000000000000,39.437500000000000,-74.690600000000003,Solar,,,,2013.000000000000000,Sustainable Power Group  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.947,1.925,2.328,1.916,1.907,
42,AC Landfill Energy LLC,USA0057845,5.400000000000000,39.417499999999997,-74.542199999999994,Waste,,,,2005.000000000000000,AC Landfill Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68062,2017,21.854,15.862,10.046,10.047,8.24,
43,ACCC Mays Landing,USA0060802,1.400000000000000,39.460599999999999,-74.680899999999994,Solar,,,,2013.000000000000000,Marina Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68073,2017,,,,2.024,1.985,0.624298735000000
44,ACE-Stanton A PV,USA0061247,4.100000000000000,28.484500000000001,-81.174099999999996,Solar,,,,2017.000000000000000,ACE-Stanton A  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,2.308,1.828303439000000
45,ACE-Stanton PV,USA0061246,4.800000000000000,28.477399999999999,-81.180400000000006,Solar,,,,2017.000000000000000,ACE-Stanton  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,2.755,2.140452806000000
46,ADA Carbon Solutions Red River,USA0057938,20.800000000000001,32.003900000000002,-93.391099999999994,Cogeneration,,,,2011.000000000000000,ADA Carbon Solutions (Red River)  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68060,2017,25.53137,42.43459,58.22425,0,68.92222,
47,ADS Renewable Energy-Wolf Creek LLC,USA0060184,2.800000000000000,32.775500000000001,-83.434799999999996,Waste,,,,2011.000000000000000,ADS Renewable Energy- Wolf Creek  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,20.158,17.964,18.118,0.000000000000000
48,AEP Bluffton NaS,USA0060618,2.000000000000000,40.892800000000001,-83.886300000000006,Storage,,,,2009.000000000000000,Ohio Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,14689,2017,,,,0,0,
49,AEP Churubusco NaS,USA0060617,2.000000000000000,41.232599999999998,-85.314899999999994,Storage,,,,2009.000000000000000,Indiana Michigan Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
50,AEP Jacksonville Solar Project,USA0061388,7.100000000000000,30.523599999999998,-81.686400000000006,Solar,,,,2017.000000000000000,AEP Onsite Partners,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,8.259,3.166086443000000
51,AEP Milton NaS,USA0059995,2.000000000000000,38.362200000000001,-82.125600000000006,Storage,,,,2009.000000000000000,Appalachian Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
52,AES ADA Energy Storage Array,USA0060811,2.000000000000000,40.121800000000000,-75.417199999999994,Storage,,,,2013.000000000000000,Fluence,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,-5.046,-3.115,
53,AES Alamitos LLC,USA0000315,1922.000000000000000,33.768799999999999,-118.100899999999996,Gas,,,,1962.652444999999943,AES Alamitos LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33109,2017,1528.931,1369.722,1052.825,889.395,855.083,
54,AES Huntington Beach LLC,USA0000335,436.000000000000000,33.643900000000002,-117.979200000000006,Gas,,,,1958.500000000000000,AES Huntington Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33131,2017,851.663,912.234,722.497,486.191,408.97,
55,AES Petersburg,USA0000994,2154.800000000000182,38.528100000000002,-87.252499999999998,Coal,Oil,,,1976.757749999999987,Indianapolis Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23044,2017,10505.28775,11266.34537,8966.936012,9230.343021,9341.582954,
56,AES Redondo Beach LLC,USA0000356,1316.400000000000091,33.850400000000000,-118.394999999999996,Gas,,,,1964.148586999999907,AES Redondo Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33159,2017,299.638,249.851,486.888,320.555,514.578,
57,AES Shady Point LLC,USA0010671,350.000000000000000,35.193100000000001,-94.645799999999994,Coal,Gas,Other,,1990.000000000000000,AES Shady Point LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12444,2017,1872.653,1889.73297,1831.14195,1922.597043,1797.616024,
