OBJECTID,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
93,Adams Wind,USA0059637,154.300000000000011,40.920000000000002,-94.671700000000001,Wind,,,,2015.688918000000058,MidAmerican Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55940,2017,,,34.999,483.943,485.774,27.373985869999998
94,Adams Wind Farm,USA0056307,24.000000000000000,43.554800000000000,-92.724100000000007,Wind,,,,2003.416666999999961,Consolidated Edison Development Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55940,2017,59.686,60.767,59.207,57.259,55.159,
95,Adams Wind Generations LLC,USA0057375,20.000000000000000,44.916899999999998,-94.735600000000005,Wind,,,,2011.000000000000000,Adams Wind Generations LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,64.746,67.287,66.281,64.864,49.221,
96,Adelanto Solar  LLC,USA0059441,20.000000000000000,34.557200000000002,-117.377499999999998,Solar,,,,2015.000000000000000,Adelanto Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,14.034,57.181,60.618,8.918553359000001
97,Adelanto Solar II  LLC,USA0059440,7.000000000000000,34.557200000000002,-117.377499999999998,Solar,,,,2015.000000000000000,Adelanto Solar II  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,10.227,17.202,18.563,3.121493676000000
98,Adelanto Solar Project,USA0057305,10.000000000000000,34.550800000000002,-117.435299999999998,Solar,,,,2012.000000000000000,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,21.154,19.937,18.18,16.245,17.226,
99,Adera Solar,USA0060027,20.000000000000000,37.120600000000003,-120.324900000000000,Solar,,,,2016.000000000000000,Sustainable Power Group  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,69457,2017,,,1.172,37.763,39.394,8.918553359000001
100,Adkins Energy LLC,USA0058136,5.000000000000000,42.362200000000001,-89.803600000000003,Gas,,,,2002.000000000000000,Adkins Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,54886,2017,12.685,26.153,26.277,25.34,29.432,
101,Adobe San Jose,USA0057811,1.200000000000000,37.330599999999997,-121.893100000000004,Gas,,,,2010.000000000000000,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68293,2017,7.69626,7.657,6.37,8.774,8.757,
102,Adrian,USA0001956,2.000000000000000,43.637099999999997,-95.932800000000000,Oil,,,,2005.000000000000000,Adrian Public Utilities Comm,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12400,2017,0.087,0.038,0.024,0.008,0.02,
103,Adrian Energy Associates LLC,USA0054903,2.400000000000000,41.890999999999998,-83.992900000000006,Waste,,,,1995.000000000000000,LES Project Holdings LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,24552,2017,16.651,14.44,19.504,17.903,15.591,
104,Advance Stores Company  Inc,USA0059788,1.000000000000000,42.015000000000001,-72.511899999999997,Solar,,,,2014.000000000000000,Tesla Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.07623,1.38006,1.447,1.308,
105,Aeolus Wind Facility,USA0056225,3.000000000000000,36.472499999999997,-101.327799999999996,Wind,,,,2004.000000000000000,Aeolus Wind LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.50678,0.729,3.01,2.408,1.111,
